Epidemiology Wk,Start,End,Dengue,DHF,month_year
2.0,2022-01-09,2022-01-15,146,0,2022-01-01
3.0,2022-01-16,2022-01-22,178,2,2022-01-01
4.0,2022-01-23,2022-01-29,169,2,2022-01-01
5.0,2022-01-30,2022-02-05,153,1,2022-01-01
6.0,2022-02-06,2022-02-12,168,1,2022-02-01
7.0,2022-02-13,2022-02-19,206,0,2022-02-01
8.0,2022-02-20,2022-02-26,200,1,2022-02-01
9.0,2022-02-27,2022-03-05,263,0,2022-02-01
10.0,2022-03-06,2022-03-12,369,0,2022-03-01
11.0,2022-03-13,2022-03-19,421,0,2022-03-01
12.0,2022-03-20,2022-03-26,441,0,2022-03-01
13.0,2022-03-27,2022-04-02,510,0,2022-03-01
14.0,2022-04-03,2022-04-09,642,1,2022-04-01
15.0,2022-04-10,2022-04-16,733,1,2022-04-01
16.0,2022-04-17,2022-04-23,942,0,2022-04-01
17.0,2022-04-24,2022-04-30,1002,1,2022-04-01
18.0,2022-05-01,2022-05-07,845,1,2022-05-01
19.0,2022-05-08,2022-05-14,1311,4,2022-05-01
20.0,2022-05-15,2022-05-21,1273,3,2022-05-01
21.0,2022-05-22,2022-05-28,1563,4,2022-05-01
22.0,2022-05-29,2022-06-04,1451,3,2022-05-01
23.0,2022-06-05,2022-06-11,1459,1,2022-06-01
24.0,2022-06-12,2022-06-18,1253,1,2022-06-01
25.0,2022-06-19,2022-06-25,1171,1,2022-06-01
26.0,2022-06-26,2022-07-02,1186,1,2022-06-01
27.0,2022-07-03,2022-07-09,1164,0,2022-07-01
28.0,2022-07-10,2022-07-16,918,0,2022-07-01
29.0,2022-07-17,2022-07-23,1035,1,2022-07-01
30.0,2022-07-24,2022-07-30,1092,0,2022-07-01
31.0,2022-07-31,2022-08-06,894,2,2022-07-01
32.0,2022-08-07,2022-08-13,879,0,2022-08-01
33.0,2022-08-14,2022-08-20,679,0,2022-08-01
34.0,2022-08-21,2022-08-27,661,1,2022-08-01
35.0,2022-08-28,2022-09-03,577,4,2022-08-01
36.0,2022-09-04,2022-09-10,569,1,2022-09-01
37.0,2022-09-11,2022-09-17,545,0,2022-09-01
38.0,2022-09-18,2022-09-24,472,0,2022-09-01
39.0,2022-09-25,2022-10-01,426,0,2022-09-01
40.0,2022-10-02,2022-10-08,398,0,2022-10-01
41.0,2022-10-09,2022-10-15,376,0,2022-10-01
42.0,2022-10-16,2022-10-22,373,0,2022-10-01
43.0,2022-10-23,2022-10-29,313,1,2022-10-01
44.0,2022-10-30,2022-11-05,318,1,2022-10-01
45.0,2022-11-06,2022-11-12,294,0,2022-11-01
46.0,2022-11-13,2022-11-19,313,3,2022-11-01
47.0,2022-11-20,2022-11-26,267,0,2022-11-01
48.0,2022-11-27,2022-12-03,242,0,2022-11-01
49.0,2022-12-04,2022-12-10,326,1,2022-12-01
50.0,2022-12-11,2022-12-17,289,1,2022-12-01
51.0,2022-12-18,2022-12-24,272,0,2022-12-01
52.0,2022-12-25,2022-12-31,285,0,2022-12-01
