,0,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
973,1391530,1,8,Very Positive,276,25,301
974,1800290,1,0,1 user reviews,1,0,1
975,1318280,4,0,4 user reviews,4,0,4
976,1730290,0,0,No user reviews,0,0,0
977,1814560,6,0,6 user reviews,4,2,6
978,1806670,0,0,No user reviews,0,0,0
979,1809610,0,0,No user reviews,0,0,0
980,792120,5,8,Very Positive,609,37,646
981,1432320,1,8,Very Positive,86,8,94
982,1756800,5,0,5 user reviews,1,4,5
983,1725560,5,0,5 user reviews,0,5,5
984,1703060,2,0,2 user reviews,1,1,2
985,1703040,4,0,4 user reviews,2,2,4
986,1703100,2,0,7 user reviews,6,1,7
987,1591850,1,0,1 user reviews,1,0,1
988,1600880,2,0,2 user reviews,0,2,2
989,1802820,2,0,2 user reviews,1,1,2
990,1426570,1,0,1 user reviews,1,0,1
991,1814150,3,0,3 user reviews,3,0,3
992,1513860,1,7,Positive,14,2,16
993,1570020,1,6,Mostly Positive,29,12,41
994,1731270,0,0,No user reviews,0,0,0
995,1804130,15,6,Mostly Positive,11,4,15
996,1806640,7,0,7 user reviews,7,0,7
997,1784990,10,7,Positive,8,2,10
998,1810410,1,7,Positive,18,1,19
999,1569720,0,0,No user reviews,0,0,0
1000,1785080,1,0,1 user reviews,1,0,1
1001,1816530,1,0,1 user reviews,1,0,1
1002,1553840,10,7,Positive,9,1,10
1003,1818250,7,0,7 user reviews,4,3,7
1004,1758600,0,0,No user reviews,0,0,0
1005,1798430,8,0,8 user reviews,8,0,8
1006,1276390,0,0,No user reviews,0,0,0
1007,1822270,0,0,No user reviews,0,0,0
1008,1822470,0,0,No user reviews,0,0,0
1009,1809530,1,7,Positive,31,0,31
1010,1610470,2,6,Mostly Positive,103,36,139
1011,1793000,0,0,No user reviews,0,0,0
1012,1801030,12,7,Positive,11,1,12
1013,1815270,11,7,Positive,10,1,11
1014,1812960,1,7,Positive,18,2,20
1015,1411040,4,0,4 user reviews,4,0,4
1016,1785470,2,0,2 user reviews,2,0,2
1017,1794780,2,7,Positive,23,0,23
1018,1815140,0,0,No user reviews,0,0,0
1019,1818940,1,7,Positive,14,1,15
1020,1815660,1,0,1 user reviews,0,1,1
1021,1741420,0,0,No user reviews,0,0,0
1022,1733140,0,0,No user reviews,0,0,0
1023,1810840,0,0,No user reviews,0,0,0
1024,1646790,1,7,Positive,17,3,20
1025,1676260,2,0,2 user reviews,1,1,2
1026,1807640,3,0,3 user reviews,3,0,3
1027,1025960,3,8,Very Positive,75,18,93
1028,1787470,14,7,Positive,14,0,14
1029,1777280,7,0,7 user reviews,7,0,7
1030,1691990,3,0,3 user reviews,2,1,3
1031,1812840,9,0,9 user reviews,8,1,9
1032,1803420,19,5,Mixed,12,7,19
1033,1648390,3,8,Very Positive,472,23,495
1034,1819800,6,0,6 user reviews,4,2,6
1035,1765020,0,0,No user reviews,0,0,0
1036,1799000,4,0,4 user reviews,2,2,4
1037,1562340,3,0,3 user reviews,0,3,3
1038,1785430,0,0,No user reviews,0,0,0
1039,1807250,3,0,3 user reviews,0,3,3
1040,1798470,1,0,1 user reviews,1,0,1
1041,1700330,3,0,3 user reviews,2,1,3
1042,1770440,2,0,8 user reviews,8,0,8
1043,1776560,5,0,5 user reviews,4,1,5
1044,1832300,2,0,2 user reviews,2,0,2
1045,1780060,1,7,Positive,31,4,35
1046,1805040,20,6,Mostly Positive,27,9,36
1047,1796950,0,0,No user reviews,0,0,0
1048,1805560,0,0,No user reviews,0,0,0
1049,1604390,1,0,1 user reviews,1,0,1
1050,1699320,3,0,3 user reviews,3,0,3
1051,1704980,3,0,3 user reviews,3,0,3
1052,1813310,0,0,No user reviews,0,0,0
1053,1004170,1,0,1 user reviews,1,0,1
1054,1706060,0,0,No user reviews,0,0,0
1055,1291220,20,5,Mixed,27,13,40
1056,1754200,2,0,2 user reviews,2,0,2
1057,1809570,2,0,2 user reviews,0,2,2
1058,1271250,4,0,4 user reviews,2,2,4
1059,1753730,2,0,2 user reviews,2,0,2
1060,1373890,0,0,No user reviews,0,0,0
1061,1335830,20,8,Very Positive,1153,160,1313
1062,1740600,1,0,2 user reviews,1,1,2
1063,1810960,1,8,Very Positive,249,31,280
1064,1784840,0,0,No user reviews,0,0,0
1065,1777760,0,0,No user reviews,0,0,0
1066,1807660,1,0,2 user reviews,0,2,2
1067,1814770,1,8,Very Positive,66,8,74
1068,1779200,8,8,Very Positive,354,38,392
1069,1819280,0,0,No user reviews,0,0,0
1070,1810720,0,0,No user reviews,0,0,0
1071,1807600,0,0,No user reviews,0,0,0
1072,1815350,0,0,No user reviews,0,0,0
1073,1805610,0,0,No user reviews,0,0,0
1074,1729730,0,0,No user reviews,0,0,0
1075,1742080,2,0,2 user reviews,1,1,2
1076,1804580,0,0,No user reviews,0,0,0
1077,1817400,2,0,2 user reviews,1,1,2
1078,1802630,1,0,8 user reviews,4,4,8
1079,1824760,1,0,1 user reviews,1,0,1
1080,1786620,2,0,2 user reviews,1,1,2
1081,1817310,6,0,6 user reviews,5,1,6
1082,1706870,1,7,Positive,28,3,31
1083,1801490,0,0,No user reviews,0,0,0
1084,1726690,0,0,No user reviews,0,0,0
1085,1811590,3,0,3 user reviews,2,1,3
1086,1740000,2,5,Mixed,21,12,33
1087,1636490,1,0,1 user reviews,0,1,1
1088,1768100,0,0,No user reviews,0,0,0
1089,1435960,11,7,Positive,11,0,11
1090,1795620,3,0,3 user reviews,2,1,3
1091,1654190,0,0,No user reviews,0,0,0
1092,1761740,2,0,2 user reviews,1,1,2
1093,1729780,8,0,8 user reviews,3,5,8
1094,1156480,1,0,1 user reviews,1,0,1
1095,1519050,5,0,5 user reviews,5,0,5
1096,1813340,8,0,8 user reviews,7,1,8
1097,1708690,0,0,No user reviews,0,0,0
1098,1720060,1,0,3 user reviews,1,2,3
1099,1815430,1,0,1 user reviews,1,0,1
1100,1101780,8,0,8 user reviews,4,4,8
1101,1773480,0,0,No user reviews,0,0,0
1102,1789380,0,0,No user reviews,0,0,0
1103,1811860,1,0,1 user reviews,1,0,1
1104,1816520,0,0,No user reviews,0,0,0
1105,1769090,0,0,No user reviews,0,0,0
1106,1788120,13,7,Positive,12,1,13
1107,1664100,0,0,No user reviews,0,0,0
1108,1624950,1,0,2 user reviews,1,1,2
1109,1729260,0,0,No user reviews,0,0,0
1110,1490550,1,0,1 user reviews,0,1,1
1111,1758810,3,0,3 user reviews,2,1,3
1112,1761440,0,0,No user reviews,0,0,0
1113,1648230,1,7,Positive,9,1,10
1114,1620160,0,0,No user reviews,0,0,0
1115,1611140,2,0,2 user reviews,2,0,2
1116,1564520,0,0,No user reviews,0,0,0
1117,1802330,1,6,Mostly Positive,30,11,41
1118,1709660,1,0,1 user reviews,0,1,1
1119,1275610,0,0,No user reviews,0,0,0
1120,1621450,1,0,1 user reviews,0,1,1
1121,1763060,1,0,3 user reviews,3,0,3
1122,1717130,1,0,1 user reviews,0,1,1
1123,1746970,1,0,8 user reviews,8,0,8
1124,1814610,1,0,1 user reviews,1,0,1
1125,1714650,0,0,No user reviews,0,0,0
1126,1798820,1,0,1 user reviews,1,0,1
1127,1811440,0,0,No user reviews,0,0,0
1128,657060,1,0,1 user reviews,1,0,1
1129,1585050,1,0,7 user reviews,6,1,7
1130,1809170,3,0,3 user reviews,3,0,3
1131,1762270,6,8,Very Positive,287,9,296
1132,1780290,11,7,Positive,11,0,11
1133,1187870,1,0,9 user reviews,8,1,9
1134,1383650,8,0,8 user reviews,7,1,8
1135,930230,1,5,Mixed,46,21,67
1136,1781050,3,0,3 user reviews,3,0,3
1137,1062550,5,0,5 user reviews,5,0,5
1138,1583840,2,0,2 user reviews,2,0,2
1139,1732260,2,0,2 user reviews,2,0,2
1140,1810490,7,0,7 user reviews,1,6,7
1141,1706390,0,0,No user reviews,0,0,0
1142,1672920,0,0,No user reviews,0,0,0
1143,1018800,3,8,Very Positive,1109,74,1183
1144,1783150,0,0,No user reviews,0,0,0
1145,1801370,1,0,1 user reviews,1,0,1
1146,1361840,19,5,Mixed,13,6,19
1147,1691560,1,0,1 user reviews,0,1,1
1148,1765850,1,0,1 user reviews,1,0,1
1149,1458690,1,7,Positive,44,2,46
1150,1814100,0,0,No user reviews,0,0,0
1151,1303870,1,6,Mostly Positive,8,3,11
1152,1813560,1,0,1 user reviews,1,0,1
1153,1803920,1,0,1 user reviews,1,0,1
1154,1802460,7,0,7 user reviews,5,2,7
1155,1814590,2,0,2 user reviews,1,1,2
1156,1813890,1,5,Mixed,9,4,13
1157,1552930,0,0,No user reviews,0,0,0
1158,1794370,0,0,No user reviews,0,0,0
1159,1573240,1,0,1 user reviews,1,0,1
1160,1766420,4,7,Positive,22,3,25
1161,1733610,5,0,5 user reviews,2,3,5
1162,1810870,0,0,No user reviews,0,0,0
1163,1736670,7,0,7 user reviews,7,0,7
1164,1802110,8,0,8 user reviews,4,4,8
1165,1335500,1,0,4 user reviews,4,0,4
1166,680850,0,0,No user reviews,0,0,0
1167,1800120,0,0,No user reviews,0,0,0
1168,1722830,0,0,No user reviews,0,0,0
1169,1743110,1,0,1 user reviews,1,0,1
1170,1781580,1,0,1 user reviews,1,0,1
1171,1812130,3,0,3 user reviews,2,1,3
1172,1361050,3,0,3 user reviews,3,0,3
1173,1745740,0,0,No user reviews,0,0,0
1174,1808630,0,0,No user reviews,0,0,0
1175,876370,2,0,2 user reviews,2,0,2
1176,1533600,0,0,No user reviews,0,0,0
1177,1434440,0,0,No user reviews,0,0,0
1178,1801060,0,0,No user reviews,0,0,0
1179,1808800,0,0,No user reviews,0,0,0
1180,1809160,0,0,No user reviews,0,0,0
1181,1804370,2,0,2 user reviews,2,0,2
1182,1248130,20,8,Very Positive,10106,1116,11222
1183,1202410,5,0,5 user reviews,3,2,5
1184,1565500,1,0,1 user reviews,1,0,1
1185,1608860,2,0,2 user reviews,1,1,2
1186,1807920,0,0,No user reviews,0,0,0
1187,1810310,1,0,5 user reviews,1,4,5
1188,1806940,9,0,9 user reviews,6,3,9
1189,1732650,1,6,Mostly Positive,20,8,28
1190,1492140,20,7,Positive,18,4,22
1191,1807320,2,0,2 user reviews,2,0,2
1192,1770380,1,6,Mostly Positive,38,15,53
1193,1510580,4,5,Mixed,42,28,70
1194,1804360,1,0,9 user reviews,7,2,9
1195,1804280,4,0,4 user reviews,4,0,4
1196,1811140,1,7,Positive,17,0,17
1197,1639230,6,0,6 user reviews,4,2,6
1198,1721690,5,0,5 user reviews,5,0,5
1199,1804300,1,0,1 user reviews,1,0,1
1200,1771880,0,0,No user reviews,0,0,0
1201,1784580,0,0,No user reviews,0,0,0
1202,1008950,20,6,Mostly Positive,21,7,28
1203,1414000,10,7,Positive,8,2,10
1204,1767310,4,0,4 user reviews,2,2,4
1205,1251210,1,5,Mixed,39,29,68
1206,1799110,1,0,1 user reviews,1,0,1
1207,1475440,0,0,No user reviews,0,0,0
1208,1457500,4,0,4 user reviews,4,0,4
